N,C,capacity_ratio,distribution,alpha,policy,warmup_T,measure_T,seed,avg_key_size,maxmemory_bytes,dbsize_after,theory_hit_rate,redis_hit_rate,hits,misses,error,abs_error,theory_hit_rate_actual,error_actual,abs_error_actual
10000,3000,0.3,zipf,1.0,allkeys-lru,50000,100000,20241402,251.92,1697264,2969,0.8770019817254792,0.82405,82405,17595,-0.0529519817254792,0.0529519817254792,0.8759409099129979,-0.05189090991299794,0.05189090991299794
10000,3000,0.3,zipf,1.0,allkeys-lru,50000,100000,20241403,251.92,1697264,2969,0.8770019817254792,0.82621,82621,17379,-0.0507919817254791,0.0507919817254791,0.8759409099129979,-0.04973090991299789,0.04973090991299789
10000,4000,0.4,zipf,1.0,allkeys-lru,50000,100000,20241501,251.92,1949184,4094,0.9063902109591406,0.86785,86785,13215,-0.0385402109591406,0.0385402109591406,0.908763136086732,-0.04091313608673197,0.04091313608673197
10000,4000,0.4,zipf,1.0,allkeys-lru,50000,100000,20241502,251.92,1949184,4094,0.9063902109591406,0.87057,87057,12943,-0.0358202109591406,0.0358202109591406,0.908763136086732,-0.03819313608673203,0.03819313608673203
10000,4000,0.4,zipf,1.0,allkeys-lru,50000,100000,20241503,251.92,1949184,4094,0.9063902109591406,0.87188,87188,12812,-0.0345102109591406,0.0345102109591406,0.908763136086732,-0.036883136086731994,0.036883136086731994
10000,1000,0.1,zipf,0.8,allkeys-lru,50000,100000,20241601,251.92,1193424,829,0.5706175855129897,0.4061,40610,59390,-0.1645175855129896,0.1645175855129896,0.5436008576290039,-0.13750085762900388,0.13750085762900388
10000,1000,0.1,zipf,0.8,allkeys-lru,50000,100000,20241602,251.92,1193424,827,0.5706175855129897,0.40422,40422,59578,-0.1663975855129896,0.1663975855129896,0.543259463333006,-0.13903946333300599,0.13903946333300599
10000,1000,0.1,zipf,0.8,allkeys-lru,50000,100000,20241603,251.92,1193632,829,0.5706175855129897,0.40897,40897,59103,-0.1616475855129897,0.1616475855129897,0.5436008576290039,-0.1346308576290039,0.1346308576290039
10000,1000,0.1,zipf,0.8,allkeys-lfu,50000,100000,20241701,251.92,1193600,830,0.5706175855129897,0.50021,50021,49979,-0.0704075855129896,0.0704075855129896,0.5437713078966148,-0.04356130789661472,0.04356130789661472
10000,1000,0.1,zipf,0.8,allkeys-lfu,50000,100000,20241702,251.92,1193600,830,0.5706175855129897,0.49521,49521,50479,-0.0754075855129897,0.0754075855129897,0.5437713078966148,-0.04856130789661478,0.04856130789661478
